Farm_ID,Crop_Type,Farm_Area(ha),Irrigation_Type,Water_Usage(m³),Fertilizer_Used(kg/ha),Pesticide_Used(kg/ha),Soil_Type,Season,Climate_Zone,Rainfall(mm),Temperature(°C),Yield(tons/ha),Profit(€)
1,Papa,21.52,Lluvia,3571.0,66.3,16.8,Arcilloso,Verano,Templado,80.7,17.9,14.08,75736.26
2,Tomate,180.61,Goteo,4201.4,186.4,8.7,Volcánico,Primavera,Árido,113.9,16.4,65.52,3550299.87
3,Café,101.55,Lluvia,3517.6,168.4,35.6,Arcilloso,Verano,Tropical,1198.7,32.5,1.97,439018.41
4,Parchita,165.47,Secano,3432.7,212.1,41.3,Franco,Primavera,Tropical,392.0,12.5,22.83,1888594.57
5,Papa,64.69,Goteo,3131.2,89.4,5.0,Volcánico,Primavera,Mediterráneo,897.8,30.3,26.73,432229.11
6,Algodón,179.21,Lluvia,3788.3,471.6,12.0,Arenoso,Primavera,Árido,968.0,19.5,4.54,122027.85
7,Arroz,78.45,Secano,877.2,299.2,7.1,Volcánico,Primavera,Árido,1029.6,20.4,5.92,102165.92
8,Papa,3.16,Goteo,4416.3,187.5,17.4,Franco,Invierno,Mediterráneo,1197.2,14.3,40.17,31736.62
9,Café,181.17,Secano,4372.0,228.6,22.5,Arenoso,Verano,Mediterráneo,289.8,22.2,1.97,785665.18
10,Parchita,19.17,Aspersión,243.3,251.2,37.4,Arenoso,Verano,Árido,48.4,14.8,16.29,156137.44
11,Tomate,64.54,Aspersión,4146.5,320.3,32.6,Arcilloso,Primavera,Mediterráneo,493.4,6.2,159.64,3091037.69
12,Café,190.06,Goteo,731.5,282.1,31.0,Arenoso,Primavera,Tropical,156.1,13.2,0.33,136480.21
13,Café,190.17,Lluvia,1742.1,463.7,17.6,Arenoso,Verano,Templado,26.9,5.2,1.47,614085.6
14,Arroz,115.11,Goteo,3743.2,273.6,42.1,Volcánico,Invierno,Tropical,432.5,34.4,15.51,392851.93
15,Soja,126.74,Secano,887.7,496.5,23.6,Franco,Otoño,Mediterráneo,940.5,34.0,2.03,89882.4
16,Parchita,90.24,Lluvia,4108.0,433.1,49.0,Arcilloso,Otoño,Árido,679.4,16.9,79.67,3594647.7
17,Trigo,59.35,Aspersión,4177.5,143.8,31.7,Volcánico,Verano,Árido,375.3,26.9,6.95,82458.68
18,Café,66.4,Lluvia,2586.6,468.8,6.3,Arenoso,Primavera,Tropical,785.2,15.4,4.73,691058.47
19,Soja,134.83,Aspersión,131.3,102.4,33.8,Arenoso,Primavera,Árido,278.4,25.1,0.07,3296.93
20,Trigo,150.72,Lluvia,1506.5,417.9,16.3,Arcilloso,Invierno,Mediterráneo,17.3,29.2,4.35,131190.98
21,Parchita,158.52,Lluvia,3122.9,221.3,34.3,Franco,Otoño,Tropical,917.2,33.4,20.13,1595237.91
22,Maíz,158.13,Lluvia,4907.8,445.1,3.5,Arcilloso,Invierno,Árido,748.5,17.0,25.69,731354.02
23,Algodón,19.15,Secano,3195.9,440.6,8.7,Volcánico,Otoño,Templado,914.8,28.5,8.32,23893.31
24,Soja,99.39,Secano,1373.0,412.7,42.8,Arcilloso,Verano,Templado,46.7,13.0,4.52,157350.69
25,Cacao,12.45,Goteo,3206.6,405.5,11.4,Arenoso,Otoño,Mediterráneo,1004.5,34.7,3.7,115305.11
26,Maíz,110.36,Goteo,2745.9,187.1,41.9,Volcánico,Invierno,Árido,743.4,5.8,7.8,154916.78
27,Algodón,88.86,Aspersión,3921.2,86.4,14.0,Arenoso,Invierno,Mediterráneo,676.1,23.1,1.55,20608.79
28,Arroz,177.65,Secano,624.2,231.3,32.1,Franco,Invierno,Tropical,749.5,24.8,1.12,43959.96
29,Papa,70.83,Aspersión,3829.0,128.1,34.7,Arenoso,Verano,Templado,1037.3,25.6,27.91,494276.45
30,Tomate,24.3,Goteo,2752.2,362.7,25.6,Arenoso,Otoño,Tropical,704.3,8.6,243.52,1775246.24
31,Cacao,29.46,Aspersión,4818.7,205.7,15.3,Arcilloso,Otoño,Árido,697.1,33.2,2.2,162257.19
32,Arroz,152.54,Goteo,1775.2,489.0,10.6,Arenoso,Invierno,Mediterráneo,1188.8,10.4,7.11,238725.07
33,Parchita,124.03,Secano,3199.8,338.4,1.7,Volcánico,Otoño,Mediterráneo,908.1,23.7,43.22,2680057.81
34,Arroz,21.12,Lluvia,4666.9,420.1,15.2,Volcánico,Primavera,Mediterráneo,530.8,11.7,28.06,130356.47
35,Papa,17.74,Secano,602.3,109.6,32.7,Franco,Primavera,Tropical,848.9,14.2,19.28,85515.97
36,Parchita,140.49,Aspersión,4692.4,437.9,46.9,Volcánico,Primavera,Templado,467.1,21.4,60.94,4280596.5
37,Cacao,15.48,Aspersión,3470.6,465.2,43.6,Arcilloso,Otoño,Tropical,274.7,17.5,4.14,160058.97
38,Papa,164.55,Secano,432.4,269.2,38.3,Franco,Verano,Tropical,716.2,9.8,4.92,202425.09
39,Trigo,141.54,Secano,1574.7,322.8,39.4,Volcánico,Verano,Árido,1113.8,10.1,5.37,152113.46
40,Tomate,17.19,Goteo,3570.0,394.2,33.2,Arcilloso,Verano,Árido,1115.0,17.5,211.99,1093208.48
41,Cacao,17.88,Aspersión,430.0,128.7,13.0,Volcánico,Verano,Árido,410.3,27.7,0.89,39766.76
42,Trigo,197.34,Aspersión,2952.6,276.2,45.4,Volcánico,Primavera,Templado,633.2,31.9,5.85,230839.58
43,Algodón,75.48,Secano,1794.8,229.4,33.5,Arenoso,Primavera,Templado,254.0,7.5,2.43,27478.55
44,Cacao,74.76,Lluvia,3142.5,115.9,28.0,Volcánico,Invierno,Árido,1194.8,16.8,1.11,207894.59
